FID,REGION_CODE,REGION_DESCRIPTION,SITE_NAME,TEMP_C,DEPTH,MOORING_CODE,MOORING_DESCRIPTION,SUBSTRATE_TYPE_CODE,SUBSTRATE_TYPE_DESCRIPTION,LATITUDE,LONGITUDE,GEOM,DATETIME_LOCAL,DATETIME_UTC
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1423,2,West Coast,Cape Sorell,16.939,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-01T18:00:00,2010-01-01T08:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1422,2,West Coast,Cape Sorell,16.487,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-02T02:00:00,2010-01-01T16:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1421,2,West Coast,Cape Sorell,16.392,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-02T10:00:00,2010-01-02T00:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1420,2,West Coast,Cape Sorell,16.677,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-02T18:00:00,2010-01-02T08:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-141f,2,West Coast,Cape Sorell,16.249,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-03T02:00:00,2010-01-02T16:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-141e,2,West Coast,Cape Sorell,15.986,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-03T10:00:00,2010-01-03T00:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-141d,2,West Coast,Cape Sorell,16.249,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-03T18:00:00,2010-01-03T08:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-141c,2,West Coast,Cape Sorell,16.082,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-04T02:00:00,2010-01-03T16:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-141b,2,West Coast,Cape Sorell,16.058,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-04T10:00:00,2010-01-04T00:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-141a,2,West Coast,Cape Sorell,16.296,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-04T18:00:00,2010-01-04T08:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1419,2,West Coast,Cape Sorell,16.511,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-05T02:00:00,2010-01-04T16:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1418,2,West Coast,Cape Sorell,16.439,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-05T10:00:00,2010-01-05T00:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1417,2,West Coast,Cape Sorell,16.701,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-05T18:00:00,2010-01-05T08:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1416,2,West Coast,Cape Sorell,16.558,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-06T02:00:00,2010-01-05T16:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1415,2,West Coast,Cape Sorell,16.511,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-06T10:00:00,2010-01-06T00:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1414,2,West Coast,Cape Sorell,16.749,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-06T18:00:00,2010-01-06T08:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1413,2,West Coast,Cape Sorell,16.654,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-07T02:00:00,2010-01-06T16:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1412,2,West Coast,Cape Sorell,16.463,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-07T10:00:00,2010-01-07T00:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1411,2,West Coast,Cape Sorell,16.773,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-07T18:00:00,2010-01-07T08:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1410,2,West Coast,Cape Sorell,16.63,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-08T02:00:00,2010-01-07T16:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-140f,2,West Coast,Cape Sorell,16.82,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-08T10:00:00,2010-01-08T00:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-140e,2,West Coast,Cape Sorell,16.892,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-08T18:00:00,2010-01-08T08:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-140d,2,West Coast,Cape Sorell,16.606,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-09T02:00:00,2010-01-08T16:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-140c,2,West Coast,Cape Sorell,16.915,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-09T10:00:00,2010-01-09T00:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-140b,2,West Coast,Cape Sorell,16.749,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-09T18:00:00,2010-01-09T08:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-140a,2,West Coast,Cape Sorell,16.915,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-10T02:00:00,2010-01-09T16:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1409,2,West Coast,Cape Sorell,16.677,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-10T10:00:00,2010-01-10T00:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1408,2,West Coast,Cape Sorell,17.296,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-10T18:00:00,2010-01-10T08:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1407,2,West Coast,Cape Sorell,16.868,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-11T02:00:00,2010-01-10T16:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1406,2,West Coast,Cape Sorell,17.201,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-11T10:00:00,2010-01-11T00:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1405,2,West Coast,Cape Sorell,17.082,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-11T18:00:00,2010-01-11T08:00:00
IWT_LOGGER_GV_DATA.fid--5bc17bf2_17e9adfc0ff_-1404,2,West Coast,Cape Sorell,16.963,11.7,3,Rock Anchor,2 ,Reef,-42.209,145.1781,POINT (145.17807 -42.20895),2010-01-12T02:00:00,2010-01-11T16:00:00
